,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,METEOR,CIDEr,Spice,ROUGE_L,ROUGE_L_pre,ROUGE_L_recall,ROUGE_1gram,ROUGE_1gram_pre,ROUGE_1gram_recall,ROUGE_2gram,ROUGE_2gram_pre,ROUGE_2gram_recall
bleu_1gram,1.0,0.8393587880904009,0.7221508675691565,0.6284648794543322,0.6206152026495138,0.60592256219129,0.4775368924256448,0.7194262530954836,0.7239886547159239,0.6148347994868107,0.7194262530954836,0.7239886547159239,0.6148347994868107,0.5734221044502175,0.6151666759557901,0.5096410091895949
bleu_2gram,0.8393587880904009,1.0,0.9599246165798083,0.8767225822771889,0.7494719779355917,0.7522834212771525,0.5854092605151658,0.7798848775954142,0.7593706431977519,0.6909617750885946,0.7798848775954142,0.7593706431977519,0.6909617750885946,0.8299718435676847,0.8546694264848747,0.7702483661088427
bleu_3gram,0.7221508675691565,0.9599246165798083,1.0,0.9622053697567265,0.7606304659724057,0.7704145487662933,0.5721844263012227,0.7528890210859309,0.7096294613406051,0.686757748533468,0.7528890210859309,0.7096294613406051,0.686757748533468,0.8887108236618325,0.9011156135794429,0.8375608271719034
bleu_4gram,0.6284648794543322,0.8767225822771889,0.9622053697567265,1.0,0.740896507396526,0.756381711116815,0.5618277733398067,0.7081946555798888,0.6462666859048831,0.6646738884829974,0.7081946555798888,0.6462666859048831,0.6646738884829974,0.889521821278123,0.8921130894245299,0.8477923897956805
METEOR,0.6206152026495138,0.7494719779355917,0.7606304659724057,0.740896507396526,1.0,0.7999641905459947,0.6071377061519093,0.8584560481298553,0.6888883650348643,0.8911574745404135,0.8584560481298553,0.6888883650348643,0.8911574745404135,0.8658337648981816,0.8142128084541395,0.8676268583918131
CIDEr,0.60592256219129,0.7522834212771525,0.7704145487662933,0.756381711116815,0.7999641905459947,1.0,0.6274707834410266,0.7912446135608237,0.6655326153367002,0.7895688859159484,0.7912446135608237,0.6655326153367002,0.7895688859159484,0.8252118831022577,0.7734194468069432,0.8242621016905191
Spice,0.4775368924256448,0.5854092605151658,0.5721844263012227,0.5618277733398067,0.6071377061519093,0.6274707834410266,1.0,0.5817449830446465,0.5007044007482466,0.5640446909955444,0.5817449830446465,0.5007044007482466,0.5640446909955444,0.5655690144188246,0.569479736091083,0.5350845088087713
ROUGE_L,0.7194262530954836,0.7798848775954142,0.7528890210859309,0.7081946555798888,0.8584560481298553,0.7912446135608237,0.5817449830446465,1.0,0.9157252840574442,0.9353035851382046,1.0,0.9157252840574442,0.9353035851382046,0.8233571497414404,0.7938917044803584,0.8069904338683801
ROUGE_L_pre,0.7239886547159239,0.7593706431977519,0.7096294613406051,0.6462666859048831,0.6888883650348643,0.6655326153367002,0.5007044007482466,0.9157252840574442,1.0,0.7184353194580967,0.9157252840574471,1.0,0.7184353194580967,0.7308818053160058,0.7654972842864257,0.6648398770202891
ROUGE_L_recall,0.6148347994868107,0.6909617750885946,0.686757748533468,0.6646738884829974,0.8911574745404135,0.7895688859159484,0.5640446909955444,0.9353035851382046,0.7184353194580967,1.0,0.9353035851382078,0.7184353194580976,1.0,0.7941583123854626,0.7115131042120965,0.8260049224746328
ROUGE_1gram,0.7194262530954836,0.7798848775954142,0.7528890210859309,0.7081946555798888,0.8584560481298553,0.7912446135608237,0.5817449830446465,1.0,0.9157252840574471,0.9353035851382078,1.0,0.9157252840574442,0.9353035851382046,0.8233571497414404,0.7938917044803584,0.8069904338683801
ROUGE_1gram_pre,0.7239886547159239,0.7593706431977519,0.7096294613406051,0.6462666859048831,0.6888883650348643,0.6655326153367002,0.5007044007482466,0.9157252840574442,1.0,0.7184353194580976,0.9157252840574442,1.0,0.7184353194580967,0.7308818053160058,0.7654972842864257,0.6648398770202891
ROUGE_1gram_recall,0.6148347994868107,0.6909617750885946,0.686757748533468,0.6646738884829974,0.8911574745404135,0.7895688859159484,0.5640446909955444,0.9353035851382046,0.7184353194580967,1.0,0.9353035851382046,0.7184353194580967,1.0,0.7941583123854626,0.7115131042120965,0.8260049224746328
ROUGE_2gram,0.5734221044502175,0.8299718435676847,0.8887108236618325,0.889521821278123,0.8658337648981816,0.8252118831022577,0.5655690144188246,0.8233571497414404,0.7308818053160058,0.7941583123854626,0.8233571497414404,0.7308818053160058,0.7941583123854626,1.0,0.9706242468275547,0.9784257246700838
ROUGE_2gram_pre,0.6151666759557901,0.8546694264848747,0.9011156135794429,0.8921130894245299,0.8142128084541395,0.7734194468069432,0.569479736091083,0.7938917044803584,0.7654972842864257,0.7115131042120965,0.7938917044803584,0.7654972842864257,0.7115131042120965,0.9706242468275547,1.0,0.9014789624075659
ROUGE_2gram_recall,0.5096410091895949,0.7702483661088427,0.8375608271719034,0.8477923897956805,0.8676268583918131,0.8242621016905191,0.5350845088087713,0.8069904338683801,0.6648398770202891,0.8260049224746328,0.8069904338683801,0.6648398770202891,0.8260049224746328,0.9784257246700838,0.9014789624075659,1.0
